test_example_id,predicted_category
0,False
1,True
2,True
3,True
4,False
5,True
6,True
7,True
8,False
9,True
10,True
11,True
12,False
13,True
14,True
15,True
16,False
17,True
18,True
19,False
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,False
30,True
31,False
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,False
40,False
41,True
42,True
43,True
44,True
45,True
46,True
47,True
48,False
49,False
50,True
51,False
52,True
53,True
54,True
55,False
56,True
57,True
58,False
59,True
60,True
61,True
62,False
63,True
64,True
65,True
66,True
67,False
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,True
77,True
78,True
79,True
80,True
81,True
82,True
83,True
84,True
85,True
86,False
87,True
88,False
89,True
90,True
91,True
92,False
93,True
94,True
95,False
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,True
105,True
106,True
107,False
108,True
109,True
110,False
111,True
112,True
113,True
114,True
115,True
116,True
117,False
118,True
119,True
120,True
121,True
122,True
123,True
124,False
125,False
126,True
127,True
128,True
129,True
130,True
131,True
132,False
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,False
142,True
143,True
144,True
145,False
146,True
147,True
148,True
149,True
150,True
151,True
152,True
153,False
154,True
155,True
